source,title,summary,topic
WHO,COVID-19 cases rise globally,WHO reports a significant increase in covid infections across multiple continents,Covid
WHO,New covid variant detected in Europe,Scientists are monitoring a new coronavirus mutation spreading rapidly,Covid
WHO,Long covid symptoms concern doctors,Medical experts analyze long-term covid health effects,Covid
WHO,Covid hospitalization rates increase,Hospitals report more covid patients requiring intensive care,Covid
Spiegel Gesundheit,Corona Zahlen steigen erneut,Covid Infektionen nehmen in Deutschland wieder deutlich zu,Covid
Tagesschau Gesundheit,Neue Corona-Maßnahmen diskutiert,Politik berät über neue Regeln zur Eindämmung von Covid,Covid
Deutsches Ärzteblatt,Covid belastet Intensivstationen,Krankenhäuser melden steigende Auslastung durch Corona,Covid

WHO,New vaccination strategy for influenza,WHO introduces an updated vaccination plan to reduce flu infections,Vaccination
WHO,Vaccine effectiveness confirmed,Studies show vaccines significantly reduce severe disease,Vaccination
Spiegel Gesundheit,Impfstoff gegen Grippe empfohlen,Ärzte empfehlen die jährliche Influenza-Impfung,Vaccination
Tagesschau Gesundheit,Impfquote in Deutschland steigt,Mehr Bürger lassen sich gegen verschiedene Krankheiten impfen,Vaccination
Deutsches Ärzteblatt,Impfprogramme sollen ausgeweitet werden,Mediziner fordern bessere Impfkampagnen,Vaccination
WHO,Booster vaccination advised,Additional vaccine doses improve immune protection,Vaccination

WHO,Global pandemic preparedness reviewed,International organizations evaluate readiness for future pandemics,Pandemic
WHO,Epidemic outbreak under observation,Health authorities monitor a rapidly spreading epidemic,Pandemic
Spiegel Gesundheit,Pandemiepläne überarbeitet,Gesundheitssystem zieht Lehren aus früheren Pandemien,Pandemic
Tagesschau Gesundheit,Pandemiepolitik wird analysiert,Experten bewerten staatliche Maßnahmen,Pandemic
Deutsches Ärzteblatt,Pandemie belastet Gesundheitssystem,Langfristige Auswirkungen der Pandemie diskutiert,Pandemic

WHO,Influenza cases rising early,Flu season begins earlier than expected this year,Influenza
WHO,New influenza strain identified,Researchers investigate a new flu virus variant,Influenza
Spiegel Gesundheit,Grippewelle rollt durchs Land,Viele Menschen leiden unter Fieber und Husten,Influenza
Tagesschau Gesundheit,Erkältungs- und Grippefälle steigen,Ärzte melden mehr Influenza-Patienten,Influenza
Deutsches Ärzteblatt,Grippe-Impfung dringend empfohlen,Mediziner raten zur Influenza-Schutzimpfung,Influenza

WHO,Depression rates increase globally,More people suffer from depression and emotional exhaustion,Depression
WHO,Mental health crisis after pandemic,Psychologists warn about long-term mental health effects,Depression
Spiegel Gesundheit,Depression bei Jugendlichen nimmt zu,Studien zeigen mehr psychische Belastungen bei jungen Menschen,Depression
Tagesschau Gesundheit,Angststörungen werden häufiger,Immer mehr Menschen suchen psychologische Hilfe,Depression
Deutsches Ärzteblatt,Psychische Erkrankungen im Fokus,Depressionen und Angststörungen werden häufiger diagnostiziert,Depression

WHO,Alcohol addiction remains widespread,WHO warns about rising alcohol abuse worldwide,Addiction
WHO,Smoking increases disease risk,Nicotine addiction significantly harms long-term health,Addiction
Spiegel Gesundheit,Suchtprobleme nehmen zu,Alkohol- und Drogensucht belasten das Gesundheitssystem,Addiction
Tagesschau Gesundheit,Drogenkonsum bei Jugendlichen steigt,Experten warnen vor steigender Abhängigkeit,Addiction
Deutsches Ärzteblatt,Suchtmedizin fordert Reformen,Bessere Prävention und Therapie für Abhängige nötig,Addiction

WHO,Healthy nutrition reduces obesity,Balanced diet and exercise prevent obesity,Nutrition and lifestyle
WHO,Physical activity improves health,Regular exercise lowers risk of chronic diseases,Nutrition and lifestyle
Spiegel Gesundheit,Ernährung im Alltag verbessern,Gesunde Ernährung steigert Lebensqualität,Nutrition and lifestyle
Tagesschau Gesundheit,Bewegungsmangel als Gesundheitsrisiko,Zu wenig Sport erhöht Krankheitsrisiken,Nutrition and lifestyle
Deutsches Ärzteblatt,Adipositas durch falsche Ernährung,Übergewicht entsteht durch schlechte Ernährungsgewohnheiten,Nutrition and lifestyle

WHO,Healthcare systems under pressure,Hospitals face staff shortages and financial stress,Policy and system
WHO,Health insurance reforms discussed,Governments plan changes to healthcare insurance systems,Policy and system
Spiegel Gesundheit,Krankenhäuser unter Personalmangel,Kliniken kämpfen mit zu wenig Pflegepersonal,Policy and system
Tagesschau Gesundheit,Reform des Gesundheitssystems geplant,Politik plant strukturelle Veränderungen,Policy and system
Deutsches Ärzteblatt,Krankenversicherung vor Reform,Ärzte diskutieren neue gesetzliche Regelungen,Policy and system

WHO,Measles cases increase worldwide,WHO reports rising measles outbreaks due to low vaccination,Measles
Spiegel Gesundheit,Masernfälle nehmen zu,Ärzte warnen vor fehlendem Impfschutz,Measles
Tagesschau Gesundheit,Masern-Impfung wichtiger denn je,Behörden rufen zur Impfung auf,Measles
Deutsches Ärzteblatt,Masern breiten sich erneut aus,Unzureichende Impfquoten als Ursache,Measles
